epoch,loss,val loss,accuracy,val_accuracy,precision,val_precision,recall,val_recall,f1,val_f1
1,0.011588,0.003795,0.066,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
2,0.004151,0.004133,0.0445,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
3,0.003806,0.004501,0.034,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
4,0.00359,0.00362,0.02,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
5,0.003592,0.003503,0.024,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
6,0.003559,0.003262,0.016,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
7,0.003757,0.00374,0.005,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
8,0.00312,0.003683,0.085,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
9,0.003356,0.003445,0.014,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
10,0.003045,0.003266,0.1085,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
11,0.003409,0.003426,0.0495,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
12,0.003378,0.004043,0.0345,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
13,0.003468,0.00358,0.005,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
14,0.003269,0.003693,0.0125,0.03338,0.00125,0.0,0.000714,0.0,0.000909,0.0
15,0.00341,0.003757,0.025,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
16,0.003299,0.003258,0.034,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
17,0.003118,0.003289,0.0265,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
18,0.002991,0.003287,0.1035,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
19,0.003261,0.003599,0.046,0.03338,0.001,0.0,0.000833,0.0,0.000909,0.0
20,0.002949,0.004903,0.103,0.031837,0.0,0.00291,0.0,0.004067,0.0,0.00226
21,0.003125,0.003061,0.013,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
22,0.003183,0.003145,0.0405,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
23,0.00276,0.003288,0.1035,0.0331,0.008,0.001403,0.010119,0.00014,0.007576,0.000255
24,0.002808,0.003087,0.032,0.031417,0.02125,0.002548,0.015577,0.001022,0.014429,0.001233
25,0.003006,0.002991,0.01,0.03338,0.0,0.0,0.0,0.0,0.0,0.0
26,0.003002,0.002904,0.037,0.032959,0.0,0.000701,0.0,0.000156,0.0,0.000255
27,0.002746,0.002558,0.0235,0.039271,0.010548,0.020427,0.009484,0.008862,0.007762,0.010432
28,0.002515,0.002799,0.049,0.036045,0.051101,0.013908,0.042266,0.003293,0.031388,0.00476
29,0.002232,0.002081,0.1205,0.091865,0.08447,0.114856,0.088304,0.144925,0.063844,0.099209
30,0.002059,0.002321,0.1075,0.078822,0.109903,0.103593,0.179264,0.143374,0.108675,0.09001
31,0.001811,0.002311,0.1215,0.073632,0.193286,0.08814,0.282742,0.092936,0.177579,0.068328
32,0.001585,0.001945,0.174,0.197615,0.250171,0.189898,0.383389,0.689753,0.251796,0.27947
33,0.001519,0.001613,0.211,0.136886,0.268712,0.259419,0.421458,0.141447,0.282261,0.165718
34,0.001529,0.001509,0.204,0.160589,0.29581,0.241921,0.401482,0.239141,0.286581,0.200625
35,0.001301,0.001405,0.2415,0.220757,0.294298,0.24641,0.491887,0.515815,0.327283,0.288079
36,0.001342,0.00151,0.2355,0.158485,0.308538,0.266379,0.46545,0.230112,0.322437,0.202577
37,0.001414,0.001539,0.2215,0.230435,0.255462,0.260491,0.358651,0.532991,0.252293,0.301183
38,0.00128,0.001338,0.2705,0.269425,0.325823,0.297576,0.485081,0.580126,0.328289,0.350018
39,0.001256,0.001221,0.2565,0.318093,0.36029,0.352995,0.488079,0.608002,0.365415,0.409224
40,0.001231,0.001266,0.293,0.280926,0.374544,0.324328,0.525478,0.543956,0.39472,0.364527
41,0.001154,0.001302,0.3495,0.28317,0.38656,0.317369,0.545353,0.588722,0.401628,0.369998
42,0.001206,0.001254,0.3165,0.307153,0.432687,0.321596,0.58474,0.69887,0.451276,0.401494
43,0.001137,0.001383,0.361,0.251192,0.458829,0.315454,0.605282,0.435329,0.472338,0.323588
44,0.001121,0.001267,0.351,0.285834,0.398321,0.33974,0.58151,0.529239,0.42882,0.370765
45,0.001102,0.00118,0.3645,0.310799,0.42801,0.397839,0.586442,0.487177,0.453573,0.398002
46,0.00119,0.001192,0.3315,0.337728,0.410183,0.359832,0.539143,0.678886,0.420079,0.440392
47,0.001062,0.001515,0.386,0.22791,0.486258,0.269177,0.64502,0.460496,0.514432,0.29336
48,0.001063,0.001091,0.3955,0.379663,0.486202,0.435947,0.590887,0.616429,0.48414,0.478994
49,0.001026,0.001215,0.443,0.362553,0.50652,0.392426,0.605928,0.691307,0.511667,0.462425
50,0.001011,0.001108,0.404,0.360589,0.481222,0.463497,0.704423,0.532866,0.537053,0.460612
51,0.000988,0.001131,0.4335,0.383871,0.5278,0.455405,0.699871,0.609833,0.56553,0.484842
52,0.0011,0.001126,0.3715,0.447826,0.460322,0.452169,0.65199,0.826966,0.509538,0.557198
53,0.000958,0.001215,0.464,0.300421,0.5413,0.430467,0.707498,0.412046,0.580822,0.388285
54,0.001042,0.001142,0.425,0.385554,0.482165,0.439994,0.628246,0.64309,0.514373,0.485105
55,0.000981,0.001094,0.4525,0.4108,0.531496,0.4408,0.663238,0.721682,0.561711,0.511868
56,0.00095,0.001015,0.4725,0.420197,0.552671,0.524535,0.701369,0.59201,0.579592,0.524528
57,0.000839,0.001015,0.5395,0.44418,0.571756,0.523327,0.730976,0.651368,0.60978,0.548357
58,0.000997,0.001091,0.4495,0.419636,0.588391,0.472772,0.668724,0.682434,0.583857,0.520916
